timestamp_s,cycle,error_code,com_x,com_y,com_z,left_contact,right_contact,stability_status,left_force_n,right_force_n,stability_margin_m,compute_us,extra_0,extra_1,extra_2
0.01,1,0,0.55,0.183926,1.74653,1,1,3,0,0,0,363.142,0,0,0
0.02,2,0,0.55,0.183924,1.74065,1,1,3,0,0,0,777.704,0,0,0
0.03,3,0,0.55,0.183922,1.7338,1,1,3,0,0,0,734.782,0,0,0
0.04,4,0,0.55,0.183921,1.72597,1,1,3,0,0,0,442.04,0,0,0
0.05,5,0,0.55,0.183919,1.71716,1,1,3,0,0,0,432.638,0,0,0
0.06,6,0,0.55,0.183917,1.70738,1,1,3,0,0,0,511.184,0,0,0
0.07,7,0,0.55,0.183915,1.69662,1,1,3,0,0,0,598.564,0,0,0
0.08,8,0,0.55,0.183914,1.6849,1,1,3,0,0,0,675.736,0,0,0
0.09,9,0,0.55,0.183912,1.6722,1,1,3,0,0,0,701.747,0,0,0
0.1,10,0,0.55,0.18391,1.65853,1,1,3,0,0,0,820.854,0,0,0
0.11,11,0,0.55,0.183909,1.6439,1,1,3,0,0,0,591.391,0,0,0
0.12,12,0,0.55,0.183907,1.6283,1,1,3,0,0,0,756.066,0,0,0
0.13,13,0,0.55,0.183905,1.61173,1,1,3,0,0,0,791.54,0,0,0
0.14,14,0,0.55,0.183903,1.5942,1,1,3,0,0,0,792.63,0,0,0
0.15,15,0,0.55,0.183902,1.57571,1,1,3,0,0,0,487.72,0,0,0
0.16,16,0,0.55,0.1839,1.55626,1,1,3,0,0,0,369.708,0,0,0
0.17,17,0,0.55,0.183898,1.53585,1,1,3,0,0,0,483.465,0,0,0
0.18,18,0,0.55,0.183897,1.51448,1,1,3,0,0,0,488.048,0,0,0
0.19,19,0,0.55,0.183895,1.49216,1,1,3,0,0,0,400.367,0,0,0
0.2,20,0,0.55,0.183893,1.46889,1,1,3,0,0,0,300.963,0,0,0
0.21,21,0,0.55,0.183891,1.44466,1,1,3,0,0,0,378.566,0,0,0
0.22,22,0,0.55,0.18389,1.41949,1,1,3,0,0,0,313.681,0,0,0
0.23,23,0,0.55,0.183888,1.39338,1,1,3,0,0,0,558.641,0,0,0
0.24,24,0,0.55,0.183886,1.36632,1,1,3,0,0,0,433.56,0,0,0
0.25,25,0,0.55,0.183885,1.33832,1,1,3,0,0,0,297.807,0,0,0
0.26,26,0,0.55,0.183883,1.30938,1,1,3,0,0,0,320.292,0,0,0
0.27,27,0,0.55,0.183881,1.27951,1,1,3,0,0,0,314.664,0,0,0
0.28,28,0,0.55,0.18388,1.2487,1,1,3,0,0,0,378.163,0,0,0
0.29,29,0,0.55,0.183878,1.21696,1,1,3,0,0,0,462.167,0,0,0
0.3,30,0,0.55,0.183876,1.18429,1,1,3,0,0,0,368.596,0,0,0
0.31,31,0,0.55,0.183874,1.1507,1,1,3,0,0,0,444.345,0,0,0
0.32,32,0,0.55,0.183873,1.11619,1,1,3,0,0,0,364.022,0,0,0
0.33,33,0,0.55,0.183871,1.08076,1,1,3,0,0,0,546.254,0,0,0
0.34,34,0,0.55,0.183869,1.04441,1,1,3,0,0,0,366.897,0,0,0
0.35,35,0,0.55,0.183868,1.00714,1,1,3,0,0,0,504.851,0,0,0
0.36,36,0,0.55,0.183866,0.968967,2,1,3,0,0,0,541.97,0,0,0
0.37,37,0,0.55,0.183864,0.929886,2,2,3,0,0,0,483.134,0,0,0
0.38,38,0,0.55,0.183863,0.889899,2,2,3,0,0,0,561.037,0,0,0
0.39,39,0,0.55,0.183861,0.849012,2,2,3,0,0,0,554.809,0,0,0
0.4,40,0,0.54487,0.181744,0.848035,3,3,3,1432.05,1873.42,0,568.197,0,0,0
0.41,41,0,0.540823,0.180058,0.851071,3,3,3,101.958,304.686,0,444.845,0,0,0
0.42,42,0,0.536987,0.178472,0.853583,2,3,3,0,37.476,0,414.368,0,0,0
0.43,43,0,0.5334,0.177047,0.855673,2,3,3,0,45.5951,0,500.727,0,0,0
0.44,44,0,0.530079,0.175802,0.857864,3,3,3,26.091,61.4317,0,416.345,0,0,0
0.45,45,0,0.527,0.174692,0.859903,3,3,3,16.0008,51.217,0,665.875,0,0,0
0.46,46,0,0.524144,0.173724,0.861763,3,3,3,15.2676,49.6934,0,520.468,0,0,0
0.47,47,0,0.521501,0.1729,0.863439,3,3,3,15.2483,49.2573,0,895.275,0,0,0
0.48,48,0,0.519063,0.172218,0.864934,3,3,3,15.5268,49.1984,0,623.471,0,0,0
0.49,49,0,0.516824,0.171676,0.866254,3,3,3,15.8116,49.2345,0,554.735,0,0,0
0.5,50,0,0.514779,0.171274,0.8674,3,3,3,15.9688,49.2774,0,514.279,0,0,0
0.51,51,0,0.512925,0.171014,0.868374,3,3,3,15.8586,49.4085,0,426.451,0,0,0
0.52,52,0,0.511203,0.170692,0.869619,4,3,3,53.4672,48.6344,0,520.063,0,0,0
0.53,53,0,0.509631,0.170445,0.870551,3,3,3,10.1902,43.8595,0,562.679,0,0,0
0.54,54,0,0.508169,0.170205,0.871458,3,3,3,33.3187,44.2192,0,853.268,0,0,0
0.55,55,0,0.506813,0.169956,0.872294,3,3,3,30.5028,43.1305,0,544.254,0,0,0
0.56,56,0,0.505564,0.169694,0.873055,3,3,3,30.1024,43.3549,0,561.07,0,0,0
0.57,57,0,0.504424,0.169413,0.873749,3,3,3,30.2792,43.7069,0,506.754,0,0,0
0.58,58,0,0.503395,0.169112,0.874383,3,3,3,30.5101,43.9628,0,605.827,0,0,0
0.59,59,0,0.502475,0.168787,0.87496,3,3,3,30.6917,44.1281,0,524.16,0,0,0
0.6,60,0,0.501666,0.168437,0.875484,3,3,3,30.8122,44.2358,0,563.983,0,0,0
0.61,61,0,0.500966,0.168061,0.875956,3,3,3,30.8811,44.3116,0,554.93,0,0,0
0.62,62,0,0.500375,0.167659,0.876377,3,3,3,30.9125,44.3709,0,566.375,0,0,0
0.63,63,0,0.499893,0.167231,0.876749,3,3,3,30.9199,44.4218,0,909.711,0,0,0
0.64,64,0,0.499482,0.166782,0.87711,4,3,3,36.5879,41.9744,0,674.838,0,0,0
0.65,65,0,0.499157,0.166257,0.877446,4,3,3,35.2954,41.8654,0,575.868,0,0,0
0.66,66,0,0.498917,0.165735,0.877756,4,3,3,33.808,43.4775,0,849.613,0,0,0
0.67,67,0,0.498756,0.165252,0.878041,4,3,3,33.8552,43.5397,0,541.359,0,0,0
0.68,68,0,0.498659,0.164815,0.878303,4,3,3,35.2039,42.376,0,586.005,0,0,0
0.69,69,0,0.498609,0.164418,0.878545,4,3,3,36.846,40.9202,0,670.195,0,0,0
0.7,70,0,0.498592,0.164054,0.878768,4,3,3,38.2454,39.6863,0,943.585,0,0,0
0.71,71,0,0.4986,0.163714,0.878974,4,3,3,39.2873,38.7891,0,512.943,0,0,0
0.72,72,0,0.498624,0.163393,0.879165,4,3,3,40.0191,38.1817,0,608.081,0,0,0
0.73,73,0,0.498661,0.163087,0.879342,4,3,3,40.5704,37.7425,0,455.212,0,0,0
0.74,74,0,0.498706,0.162793,0.879506,4,3,3,41.0147,37.3942,0,740.653,0,0,0
0.75,75,0,0.498758,0.162509,0.879658,4,3,3,41.3029,37.1928,0,537.977,0,0,0
0.76,76,0,0.498814,0.162234,0.8798,4,3,3,41.4637,37.1108,0,518.565,0,0,0
0.77,77,0,0.498875,0.161966,0.879931,4,3,3,41.5704,37.0764,0,638.64,0,0,0
0.78,78,0,0.49894,0.161705,0.880053,4,3,3,41.6527,37.0604,0,521.636,0,0,0
0.79,79,0,0.49901,0.16145,0.880167,4,3,3,41.7227,37.0514,0,671.546,0,0,0
0.8,80,0,0.499082,0.1612,0.880273,4,3,3,41.7851,37.045,0,544.614,0,0,0
0.81,81,0,0.499159,0.160954,0.880372,4,3,3,41.8422,37.0395,0,778.86,0,0,0
0.82,82,0,0.499215,0.160751,0.880459,4,3,3,43.0217,35.4921,0,2991.19,0,0,0
0.83,83,0,0.499277,0.160539,0.880541,4,3,3,42.0661,37.0281,0,822.607,0,0,0
0.84,84,0,0.499345,0.160326,0.880619,4,3,3,41.8147,37.2699,0,1130.43,0,0,0
0.85,85,0,0.499419,0.160114,0.880693,4,3,3,41.8718,37.2231,0,615.636,0,0,0
0.86,86,0,0.499497,0.159902,0.880762,4,3,3,41.9726,37.1408,0,801.879,0,0,0
0.87,87,0,0.49958,0.159691,0.880828,4,3,3,42.0416,37.0937,0,684.357,0,0,0
0.88,88,0,0.499666,0.159481,0.880889,4,3,3,42.0895,37.0686,0,542.293,0,0,0
0.89,89,0,0.499756,0.15927,0.880947,4,3,3,42.1267,37.0541,0,526.76,0,0,0
0.9,90,0,0.499849,0.159059,0.881002,4,3,3,42.1591,37.0435,0,544.217,0,0,0
0.91,91,0,0.499945,0.158848,0.881054,4,3,3,42.189,37.0342,0,443.677,0,0,0
0.92,92,0,0.50002,0.158674,0.881098,4,3,3,43.3963,35.4414,0,609.802,0,0,0
0.93,93,0,0.5001,0.158488,0.881141,4,3,3,42.3711,37.0098,0,689.782,0,0,0
0.94,94,0,0.500186,0.158297,0.881183,4,3,3,42.0758,37.2713,0,567.448,0,0,0
0.95,95,0,0.500278,0.158103,0.881224,4,3,3,42.1084,37.2289,0,729.872,0,0,0
0.96,96,0,0.500375,0.157907,0.881262,4,3,3,42.2125,37.1239,0,436.141,0,0,0
0.97,97,0,0.500475,0.157708,0.8813,4,3,3,42.2688,37.0715,0,517.756,0,0,0
0.98,98,0,0.500579,0.157507,0.881335,4,3,3,42.3022,37.0443,0,418.059,0,0,0
0.99,99,0,0.500686,0.157303,0.88137,4,3,3,42.3271,37.0268,0,520.748,0,0,0
1,100,0,0.500797,0.157096,0.881403,4,3,3,42.3482,37.0135,0,957.257,0,0,0
1.01,101,0,0.50091,0.156887,0.881435,4,3,3,42.3675,37.0019,0,438.108,0,0,0
1.02,102,0,0.501002,0.156713,0.88146,4,3,3,43.5915,35.39,0,896.425,0,0,0
1.03,103,0,0.5011,0.156525,0.881487,4,3,3,42.4138,37.0881,0,707.158,0,0,0
1.04,104,0,0.501205,0.15633,0.881513,4,3,3,42.2089,37.2521,0,560.575,0,0,0
1.05,105,0,0.501315,0.156131,0.881539,4,3,3,42.3103,37.1311,0,463.355,0,0,0
1.06,106,0,0.501429,0.155927,0.881565,4,3,3,42.3715,37.0603,0,726.181,0,0,0
1.07,107,0,0.501546,0.155719,0.88159,4,3,3,42.4065,37.0212,0,517.741,0,0,0
1.08,108,0,0.501667,0.155508,0.881615,4,3,3,42.4293,36.9975,0,605.682,0,0,0
1.09,109,0,0.501792,0.155292,0.88164,4,3,3,42.4471,36.9806,0,949.185,0,0,0
1.1,110,0,0.501919,0.155073,0.881663,4,3,3,42.4627,36.9668,0,658.164,0,0,0
1.11,111,0,0.50205,0.154849,0.881687,4,3,3,42.4773,36.9543,0,1453.79,0,0,0
1.12,112,0,0.502159,0.15466,0.881705,4,3,3,43.7178,35.3305,0,811.423,0,0,0
