timestamp_s,cycle,error_code,com_x,com_y,com_z,left_contact,right_contact,stability_status,left_force_n,right_force_n,stability_margin_m,compute_us,extra_0,extra_1,extra_2
0.01,1,0,1.6444,1.2344,2.93591,1,1,3,0,0,0,157.798,0,0,0
0.02,2,0,1.69829,1.22459,2.80379,1,1,3,0,0,0,430.901,0,0,0
0.03,3,0,1.83989,1.2448,2.57905,1,1,3,0,0,0,466.754,0,0,0
0.04,4,0,1.97193,1.29284,2.34889,1,1,3,0,0,0,448.99,0,0,0
0.05,5,0,2.13479,1.40509,2.15556,1,1,3,0,0,0,421.423,0,0,0
0.06,6,0,2.24978,1.54703,2.03273,1,1,3,0,0,0,398.461,0,0,0
0.07,7,0,2.36559,1.72622,1.83582,1,1,3,0,0,0,484.631,0,0,0
0.08,8,0,2.48658,1.90359,1.58519,1,1,3,0,0,0,678.304,0,0,0
0.09,9,0,2.57236,2.15037,1.40823,1,1,3,0,0,0,663.158,0,0,0
0.1,10,0,2.70897,2.28304,1.24422,1,1,3,0,0,0,560.025,0,0,0
0.11,11,0,2.89415,2.36367,1.06321,1,1,3,0,0,0,348.904,0,0,0
0.12,12,0,3.10618,2.44996,0.815782,1,1,3,0,0,0,540.756,0,0,0
0.13,13,0,3.31491,2.57861,0.586063,1,1,3,0,0,0,617.671,0,0,0
0.14,14,0,3.51471,2.67543,0.452776,1,1,3,0,0,0,489.264,0,0,0
0.15,15,0,3.68326,2.777,0.306277,1,1,3,0,0,0,584.535,0,0,0
0.16,16,0,3.84644,2.87457,0.271673,1,2,3,0,0,0,563.703,0,0,0
0.17,17,0,4.00311,2.98055,0.292362,1,2,3,0,0,0,561.264,0,0,0
0.18,18,0,4.16262,3.10223,0.309448,1,2,3,0,0,0,652.502,0,0,0
0.19,19,0,4.34959,3.21749,0.319328,1,2,3,0,0,0,574.019,0,0,0
0.2,20,0,4.54066,3.33446,0.335336,1,2,3,0,0,0,622.667,0,0,0
0.21,21,0,4.74997,3.47776,0.375398,1,1,3,0,0,0,586.512,0,0,0
0.22,22,0,4.92605,3.62297,0.456841,3,1,3,8158.1,0,0,545.558,0,0,0
0.23,23,0,5.10126,3.77548,0.553654,2,1,3,0,0,0,554.324,0,0,0
0.24,24,0,5.26627,3.9114,0.638419,2,1,3,0,0,0,518.991,0,0,0
0.25,25,0,5.39811,4.04978,0.751955,1,1,3,0,0,0,590.482,0,0,0
0.26,26,0,5.48721,4.19429,0.845484,1,1,3,0,0,0,541.746,0,0,0
0.27,27,0,5.5765,4.31302,0.925949,1,1,3,0,0,0,760.283,0,0,0
0.28,28,0,5.67641,4.44098,1.01769,1,1,3,0,0,0,526.784,0,0,0
0.29,29,0,5.82094,4.55311,1.08382,1,1,3,0,0,0,719.491,0,0,0
0.3,30,0,5.95218,4.6687,1.15344,1,1,3,0,0,0,658.624,0,0,0
0.31,31,0,6.08386,4.78592,1.21291,1,1,3,0,0,0,563.069,0,0,0
0.32,32,0,6.23557,4.88,1.26437,1,1,3,0,0,0,480.071,0,0,0
0.33,33,0,6.38483,4.97662,1.30666,1,1,3,0,0,0,582.916,0,0,0
0.34,34,0,6.5513,5.07675,1.36139,1,1,3,0,0,0,477.21,0,0,0
0.35,35,0,6.71699,5.18273,1.41094,1,1,3,0,0,0,522.254,0,0,0
0.36,36,0,6.88894,5.29733,1.46171,1,1,3,0,0,0,492.221,0,0,0
0.37,37,0,7.02904,5.42614,1.5001,1,1,3,0,0,0,749.939,0,0,0
0.38,38,0,7.16445,5.56299,1.53219,1,1,3,0,0,0,595.356,0,0,0
0.39,39,0,7.29933,5.69157,1.56717,1,1,3,0,0,0,584.295,0,0,0
0.4,40,0,7.41642,5.8511,1.59107,1,1,3,0,0,0,506.254,0,0,0
0.41,41,0,7.53916,6.01075,1.62726,1,1,3,0,0,0,571.558,0,0,0
0.42,42,0,7.62011,6.1447,1.64591,1,1,3,0,0,0,690.968,0,0,0
0.43,43,0,7.71293,6.31167,1.61452,1,1,3,0,0,0,511.398,0,0,0
0.44,44,0,7.88,6.45843,1.57569,1,1,3,0,0,0,593.629,0,0,0
0.45,45,0,8.10547,6.38989,1.59143,1,1,3,0,0,0,594.331,0,0,0
0.46,46,0,8.31359,6.33429,1.647,1,1,3,0,0,0,563.287,0,0,0
0.47,47,0,8.49048,6.32423,1.71404,1,1,3,0,0,0,697.217,0,0,0
0.48,48,0,8.56282,6.3575,1.70572,1,1,3,0,0,0,538.276,0,0,0
0.49,49,0,8.67856,6.36508,1.66658,1,1,3,0,0,0,560.784,0,0,0
0.5,50,0,8.81814,6.31207,1.62318,1,1,3,0,0,0,490.984,0,0,0
0.51,51,0,8.98624,6.25636,1.59477,1,1,3,0,0,0,850.125,0,0,0
0.52,52,0,9.09648,6.17167,1.60096,1,1,3,0,0,0,783.382,0,0,0
0.53,53,0,9.13239,6.08637,1.59084,1,1,3,0,0,0,611.515,0,0,0
0.54,54,0,8.82554,6.12291,1.57174,1,1,3,0,0,0,728.434,0,0,0
0.55,55,0,8.44932,6.0604,1.52276,1,1,3,0,0,0,788.718,0,0,0
0.56,56,0,8.20885,5.93015,1.47747,1,1,3,0,0,0,842.051,0,0,0
0.57,57,0,8.00139,5.81798,1.43254,1,1,3,0,0,0,736.668,0,0,0
0.58,58,0,7.80403,5.66858,1.37819,1,1,3,0,0,0,685.36,0,0,0
0.59,59,0,7.64321,5.60624,1.32384,1,1,3,0,0,0,736.155,0,0,0
0.6,60,0,7.45306,5.54946,1.30787,1,1,3,0,0,0,666.745,0,0,0
0.61,61,0,7.26876,5.60089,1.30261,1,1,3,0,0,0,761.047,0,0,0
0.62,62,0,6.9431,5.52555,1.22613,1,1,3,0,0,0,553.39,0,0,0
