timestamp_s,cycle,error_code,com_x,com_y,com_z,left_contact,right_contact,stability_status,left_force_n,right_force_n,stability_margin_m,compute_us,extra_0,extra_1,extra_2
0.01,1,0,0.522838,0.174124,0.859819,3,3,3,31.8576,87.0043,0,747.182,0,0,0
0.02,2,0,0.519594,0.1733,0.860964,3,2,3,27.7535,0,0,1054.81,0,0,0
0.03,3,0,0.516677,0.172676,0.862403,3,3,3,21.3407,81.9803,0,1048.5,0,0,0
0.04,4,0,0.513791,0.172138,0.863526,3,3,3,24.1536,29.2977,0,1042.35,0,0,0
0.05,5,0,0.511166,0.171775,0.864823,4,3,3,31.1222,63.1338,0,1295.07,0,0,0
0.06,6,0,0.508659,0.171556,0.865647,3,3,3,5.1028,36.1959,0,1234.55,0,0,0
0.07,7,0,0.50633,0.171556,0.866551,3,3,3,27.9143,57.7476,0,1217.49,0,0,0
0.08,8,0,0.504213,0.171657,0.867572,4,3,3,35.019,54.1973,0,1402.42,0,0,0
0.09,9,0,0.502196,0.171875,0.868432,4,3,3,27.6207,38.6298,0,1292.59,0,0,0
0.1,10,0,0.500463,0.172296,0.869054,2,3,3,0,60.3521,0,1467.68,0,0,0
