timestamp_s,cycle,error_code,com_x,com_y,com_z,left_contact,right_contact,stability_status,left_force_n,right_force_n,stability_margin_m,compute_us,extra_0,extra_1,extra_2
0.01,1,0,0.522167,0.177284,0.858833,4,3,3,33.591,0,0,380.789,0,0,0
0.02,2,0,0.51925,0.177204,0.861357,4,4,3,51.3812,178.487,-0.0338803,1476.32,0,0,0
0.03,3,0,0.516994,0.176408,0.866036,4,4,3,47.2362,195.329,-0.0437792,1235.55,0,0,0
0.04,4,0,0.515147,0.176779,0.8729,4,4,3,58.1216,197.352,0,653.13,0,0,0
0.05,5,0,0.513236,0.175935,0.879841,4,3,3,79.8849,0,0,709.982,0,0,0
0.06,6,0,0.511093,0.175397,0.886402,4,3,3,51.3813,0,0,1832.7,0,0,0
0.07,7,0,0.508958,0.173041,0.892877,4,3,3,53.1967,0,0,647.982,0,0,0
0.08,8,0,0.506513,0.171159,0.89863,4,3,3,34.0029,0,0,754.535,0,0,0
0.09,9,0,0.504206,0.167209,0.904114,4,3,3,19.0874,0,0,614.514,0,0,0
0.1,10,0,0.501844,0.162726,0.90885,3,1,3,0,0,0,653.442,0,0,0
0.11,11,0,0.499693,0.156076,0.913277,3,1,3,0,0,0,421.038,0,0,0
0.12,12,0,0.497621,0.148326,0.917462,3,1,3,0,0,0,863.694,0,0,0
0.13,13,0,0.495789,0.138253,0.921702,3,1,3,0,0,0,502.279,0,0,0
0.14,14,0,0.494179,0.126786,0.926592,3,1,3,0,0,0,529.487,0,0,0
0.15,15,0,0.492622,0.114045,0.931666,3,1,3,0,0,0,614.664,0,0,0
0.16,16,0,0.491473,0.0987873,0.937792,3,1,3,0,0,0,715.822,0,0,0
0.17,17,0,0.490405,0.0820774,0.943925,3,1,3,0,0,0,504.143,0,0,0
0.18,18,0,0.489473,0.0635572,0.949405,3,1,3,0,0,0,571.977,0,0,0
0.19,19,0,0.488824,0.0432305,0.954435,3,1,3,0,0,0,1311.3,0,0,0
0.2,20,0,0.488575,0.0212797,0.959361,1,1,3,0,0,0,1027.71,0,0,0
0.21,21,0,0.48882,-0.00206914,0.964457,1,1,3,0,0,0,1019.31,0,0,0
0.22,22,0,0.489634,-0.0265356,0.969955,1,1,3,0,0,0,1533.38,0,0,0
0.23,23,0,0.491073,-0.0518034,0.976029,1,1,3,0,0,0,1386.77,0,0,0
0.24,24,0,0.493169,-0.0775312,0.982791,1,1,3,0,0,0,1298.88,0,0,0
0.25,25,0,0.495932,-0.103367,0.990289,1,1,3,0,0,0,1158.84,0,0,0
0.26,26,0,0.499346,-0.128961,0.998508,1,1,3,0,0,0,727.484,0,0,0
0.27,27,0,0.503378,-0.15398,1.00737,1,1,3,0,0,0,1121.18,0,0,0
0.28,28,0,0.507972,-0.178114,1.01676,1,1,3,0,0,0,1008.32,0,0,0
0.29,29,0,0.513056,-0.201092,1.02647,1,1,3,0,0,0,1608.98,0,0,0
0.3,30,0,0.518546,-0.222687,1.0363,1,1,3,0,0,0,1219.31,0,0,0
0.31,31,0,0.524344,-0.242723,1.04599,1,1,3,0,0,0,704.105,0,0,0
0.32,32,0,0.530348,-0.261077,1.05527,1,1,3,0,0,0,1120.35,0,0,0
0.33,33,0,0.536451,-0.277683,1.06385,1,1,3,0,0,0,866.001,0,0,0
0.34,34,0,0.542548,-0.292534,1.07144,1,1,3,0,0,0,1325.12,0,0,0
0.35,35,0,0.548536,-0.305674,1.07776,1,1,3,0,0,0,1286.76,0,0,0
0.36,36,0,0.554319,-0.3172,1.08254,1,1,3,0,0,0,1232.43,0,0,0
0.37,37,0,0.55981,-0.327254,1.08555,1,1,3,0,0,0,1335.42,0,0,0
0.38,38,0,0.564936,-0.336018,1.08658,1,1,3,0,0,0,1446.65,0,0,0
0.39,39,0,0.569634,-0.343704,1.08545,1,1,3,0,0,0,1335.68,0,0,0
0.4,40,0,0.573857,-0.350551,1.08203,1,1,3,0,0,0,925.713,0,0,0
0.41,41,0,0.577573,-0.356811,1.07622,1,1,3,0,0,0,735.249,0,0,0
0.42,42,0,0.580766,-0.362747,1.06797,1,1,3,0,0,0,711.832,0,0,0
0.43,43,0,0.583434,-0.36862,1.05727,1,1,3,0,0,0,737.944,0,0,0
0.44,44,0,0.585588,-0.374687,1.04416,1,1,3,0,0,0,634.994,0,0,0
0.45,45,0,0.587258,-0.381187,1.02871,1,1,3,0,0,0,658.123,0,0,0
0.46,46,0,0.58848,-0.388342,1.01101,1,1,3,0,0,0,921.643,0,0,0
0.47,47,0,0.589304,-0.396352,0.99121,1,1,3,0,0,0,643.289,0,0,0
0.48,48,0,0.589787,-0.405385,0.969461,1,1,3,0,0,0,1127.14,0,0,0
0.49,49,0,0.59205,-0.415908,0.940339,1,1,3,0,0,0,572.791,0,0,0
0.5,50,0,0.597205,-0.430575,0.901746,1,1,3,0,0,0,752.39,0,0,0
0.51,51,0,0.605963,-0.451888,0.854897,1,1,3,0,0,0,755.267,0,0,0
0.52,52,0,0.619239,-0.481844,0.802133,1,1,3,0,0,0,764.324,0,0,0
0.53,53,0,0.63804,-0.521734,0.746745,1,1,3,0,0,0,660.135,0,0,0
0.54,54,0,0.663189,-0.571705,0.692883,1,1,3,0,0,0,1055.79,0,0,0
0.55,55,0,0.694931,-0.630315,0.645211,1,1,3,0,0,0,1023.65,0,0,0
0.56,56,0,0.732449,-0.694188,0.608205,1,1,3,0,0,0,677.598,0,0,0
0.57,57,0,0.773428,-0.75807,0.584989,1,1,3,0,0,0,1069.23,0,0,0
0.58,58,0,0.8139,-0.815605,0.575903,1,1,3,0,0,0,638.354,0,0,0
0.59,59,0,0.850345,-0.866249,0.567569,1,1,3,0,0,0,793.234,0,0,0
0.6,60,0,0.882959,-0.909202,0.5598,1,1,3,0,0,0,711.047,0,0,0
0.61,61,0,0.910554,-0.944724,0.548997,1,1,3,0,0,0,676.219,0,0,0
0.62,62,0,0.933765,-0.972848,0.53889,3,1,3,374.904,0,0,998.329,0,0,0
0.63,63,0,0.957482,-1.00126,0.530303,2,1,3,0,0,0,1115.94,0,0,0
0.64,64,0,0.978141,-1.02835,0.522579,2,1,3,0,0,0,1159.64,0,0,0
0.65,65,0,0.998741,-1.05734,0.514944,3,1,3,228.57,0,0,1225.33,0,0,0
0.66,66,0,1.01778,-1.08126,0.522286,3,1,3,411.756,0,0,1057.38,0,0,0
0.67,67,0,1.03397,-1.10228,0.533009,3,1,3,523.595,0,0,1449.85,0,0,0
0.68,68,0,1.05014,-1.12261,0.54283,3,1,3,0,0,0,1394.62,0,0,0
0.69,69,0,1.06434,-1.15399,0.552232,3,1,3,0,0,0,623.828,0,0,0
0.7,70,0,1.07573,-1.19439,0.561716,1,1,3,0,0,0,688.931,0,0,0
0.71,71,0,1.08965,-1.24714,0.584744,1,1,3,0,0,0,608.414,0,0,0
0.72,72,0,1.10908,-1.30426,0.611367,1,1,3,0,0,0,787.289,0,0,0
0.73,73,0,1.13335,-1.36158,0.639798,1,1,3,0,0,0,647.562,0,0,0
0.74,74,0,1.15951,-1.4194,0.668972,1,1,3,0,0,0,846.322,0,0,0
0.75,75,0,1.18714,-1.47755,0.699187,1,1,3,0,0,0,963.039,0,0,0
0.76,76,0,1.21614,-1.53559,0.730524,1,1,3,0,0,0,1493.6,0,0,0
0.77,77,0,1.24648,-1.59297,0.762921,1,1,3,0,0,0,1301.84,0,0,0
0.78,78,0,1.27804,-1.64917,0.796227,1,1,3,0,0,0,1484.68,0,0,0
0.79,79,0,1.31064,-1.70375,0.830214,1,1,3,0,0,0,1277.01,0,0,0
0.8,80,0,1.34408,-1.75636,0.864596,1,1,3,0,0,0,1644.45,0,0,0
0.81,81,0,1.37813,-1.80669,0.899019,1,1,3,0,0,0,1481.35,0,0,0
0.82,82,0,1.41253,-1.85457,0.933107,1,1,3,0,0,0,1435.72,0,0,0
0.83,83,0,1.44703,-1.89991,0.966467,1,1,3,0,0,0,1351.97,0,0,0
0.84,84,0,1.48135,-1.94271,0.998709,1,1,3,0,0,0,1307.68,0,0,0
0.85,85,0,1.51527,-1.98308,1.02936,1,1,3,0,0,0,1395.54,0,0,0
0.86,86,0,1.54855,-2.02119,1.0581,1,1,3,0,0,0,1174.39,0,0,0
0.87,87,0,1.58119,-2.05781,1.08356,1,1,3,0,0,0,1205.26,0,0,0
0.88,88,0,1.61287,-2.09276,1.10604,1,1,3,0,0,0,1457.96,0,0,0
0.89,89,0,1.64383,-2.12751,1.12442,1,1,3,0,0,0,1086.38,0,0,0
0.9,90,0,1.67362,-2.16159,1.139,1,1,3,0,0,0,1026.46,0,0,0
0.91,91,0,1.70256,-2.19635,1.14962,1,1,3,0,0,0,1129.32,0,0,0
0.92,92,0,1.73027,-2.23168,1.15634,1,1,3,0,0,0,1139.6,0,0,0
0.93,93,0,1.75719,-2.2686,1.15954,1,1,3,0,0,0,1519.01,0,0,0
0.94,94,0,1.78317,-2.3073,1.15929,1,1,3,0,0,0,1033.14,0,0,0
0.95,95,0,1.80877,-2.34848,1.15632,1,1,3,0,0,0,1435.93,0,0,0
0.96,96,0,1.83398,-2.39235,1.15084,1,1,3,0,0,0,1213.26,0,0,0
0.97,97,0,1.85941,-2.43916,1.14376,1,1,3,0,0,0,945.207,0,0,0
0.98,98,0,1.88512,-2.48896,1.13543,1,1,3,0,0,0,1094.58,0,0,0
0.99,99,0,1.9116,-2.54153,1.1267,1,1,3,0,0,0,984.699,0,0,0
1,100,0,1.93896,-2.59672,1.11798,1,1,3,0,0,0,595.475,0,0,0
1.01,101,0,1.96747,-2.65393,1.1099,1,1,3,0,0,0,749.277,0,0,0
1.02,102,0,1.99723,-2.71281,1.10277,1,1,3,0,0,0,791.079,0,0,0
1.03,103,0,2.02836,-2.77243,1.09702,1,1,3,0,0,0,987.782,0,0,0
1.04,104,0,2.06085,-2.83244,1.09276,1,1,3,0,0,0,1050.13,0,0,0
1.05,105,0,2.09452,-2.89222,1.08994,1,1,3,0,0,0,750.347,0,0,0
1.06,106,0,2.12924,-2.95125,1.08848,1,1,3,0,0,0,670.446,0,0,0
1.07,107,0,2.16476,-3.00885,1.08811,1,1,3,0,0,0,659.439,0,0,0
1.08,108,0,2.20092,-3.06471,1.0886,1,1,3,0,0,0,780.119,0,0,0
1.09,109,0,2.23735,-3.11841,1.08947,1,1,3,0,0,0,1141.88,0,0,0
1.1,110,0,2.2739,-3.16984,1.09045,1,1,3,0,0,0,618.878,0,0,0
1.11,111,0,2.31015,-3.2189,1.09094,1,1,3,0,0,0,761.252,0,0,0
1.12,112,0,2.34602,-3.26559,1.09074,1,1,3,0,0,0,737.401,0,0,0
1.13,113,0,2.38109,-3.31016,1.08924,1,1,3,0,0,0,589.62,0,0,0
1.14,114,0,2.41536,-3.35263,1.08628,1,1,3,0,0,0,670.271,0,0,0
1.15,115,0,2.44845,-3.39359,1.08144,1,1,3,0,0,0,661.859,0,0,0
1.16,116,0,2.48046,-3.433,1.07458,1,1,3,0,0,0,594.374,0,0,0
