timestamp_s,cycle,error_code,com_x,com_y,com_z,left_contact,right_contact,stability_status,left_force_n,right_force_n,stability_margin_m,compute_us,extra_0,extra_1,extra_2
0.01,1,0,-13.6893,-27.4202,3.34233,1,1,3,0,0,0,886.611,0,0,0
0.02,2,0,-13.6686,-27.6276,3.40644,1,1,3,0,0,0,932.8,0,0,0
0.03,3,0,-13.7288,-27.8075,3.51598,1,1,3,0,0,0,1028.21,0,0,0
0.04,4,0,-13.8047,-27.9716,3.62187,1,1,3,0,0,0,694.677,0,0,0
0.05,5,0,-13.9143,-28.0574,3.68752,1,1,3,0,0,0,761.387,0,0,0
0.06,6,0,-14.035,-28.066,3.7626,1,1,3,0,0,0,510.183,0,0,0
0.07,7,0,-14.1986,-27.9865,3.84189,1,1,3,0,0,0,482.24,0,0,0
0.08,8,0,-14.3358,-27.8871,3.97832,1,1,3,0,0,0,645.968,0,0,0
0.09,9,0,-14.4347,-27.8862,4.08224,1,1,3,0,0,0,740.025,0,0,0
0.1,10,0,-14.5618,-27.7842,4.18594,1,1,3,0,0,0,701.912,0,0,0
0.11,11,0,-14.7663,-27.6952,4.44003,1,1,3,0,0,0,1448.14,0,0,0
0.12,12,0,-14.9429,-27.7513,4.68446,1,1,3,0,0,0,1283.69,0,0,0
0.13,13,0,-15.1393,-27.9063,4.9628,1,1,3,0,0,0,710.426,0,0,0
0.14,14,0,-15.4096,-28.1004,5.17267,1,1,3,0,0,0,741.258,0,0,0
0.15,15,0,-15.7058,-28.2761,5.3642,1,1,3,0,0,0,1425.7,0,0,0
0.16,16,0,-15.989,-28.3574,5.55117,1,1,3,0,0,0,780.974,0,0,0
0.17,17,0,-16.1993,-28.5585,5.85384,1,1,3,0,0,0,737.808,0,0,0
0.18,18,0,-16.389,-28.8022,6.18827,1,1,3,0,0,0,745.591,0,0,0
0.19,19,0,-16.4784,-29.0814,6.44008,1,1,3,0,0,0,929.026,0,0,0
0.2,20,0,-16.6133,-29.4079,6.69056,1,1,3,0,0,0,491.549,0,0,0
0.21,21,0,-16.6916,-29.7224,6.96365,1,1,3,0,0,0,787.93,0,0,0
0.22,22,0,-16.839,-29.9581,7.26526,1,1,3,0,0,0,991.389,0,0,0
